  0.0000000e+000  7.0643200e+001  6.8347000e+001  7.2346900e+001  6.7675100e+001  7.3176400e+001
  0.5000000e+000  7.3282300e+001  6.5781900e+001  6.5482200e+001  7.1854800e+001  6.6992900e+001
  1.0000000e+000  6.4160900e+001  7.2488800e+001  7.0179400e+001  7.3641400e+001  7.2755900e+001
  1.5000000e+000  6.7697000e+001  7.7442500e+001  6.6862300e+001  8.0560800e+001  6.4500800e+001
  2.0000000e+000  6.8687800e+001  6.7267600e+001  7.2677000e+001  6.3213500e+001  7.0430000e+001
  2.5000000e+000  6.3934200e+001  6.5766200e+001  2.7644000e+000  6.4886900e+001  5.9977200e+001
  3.0000000e+000  6.3402800e+001  6.8768300e+001  6.8981500e+001  7.5189200e+001  6.7534600e+001
  3.5000000e+000  7.4656100e+001  7.3315100e+001  5.9728400e+001  6.8051000e+001  7.2310200e+001
  4.0000000e+000  7.0056200e+001  6.5729000e+001  7.0662800e+001  6.3093700e+001  6.8395000e+001
  4.5000000e+000  6.6774300e+001  6.3993400e+001  7.7964700e+001  7.1577700e+001  7.6182800e+001
  5.0000000e+000  7.4028600e+001  6.9400700e+001  7.5092100e+001  7.7766200e+001  6.6843600e+001
  5.5000000e+000  7.1158100e+001  6.9673500e+001  6.2098000e+001  7.3539500e+001  5.8373900e+001
  6.0000000e+000  6.5051200e+001  7.2426500e+001  6.9606700e+001  7.9786900e+001  6.3841800e+001
  6.5000000e+000  7.6697900e+001  6.7022500e+001  6.6591700e+001  7.2522700e+001  7.5278200e+001
  7.0000000e+000  7.1447500e+001  6.9251700e+001  6.4877200e+001  7.9322600e+001  6.9433900e+001
  7.5000000e+000  7.7394600e+001  6.7826200e+001  6.3828200e+001  6.8300900e+001  7.1896100e+001
  8.0000000e+000  7.5690100e+001  6.9603300e+001  7.1444000e+001  6.4301100e+001  7.4721000e+001
  8.5000000e+000  6.6579300e+001  7.7675800e+001  6.7853500e+001  6.8944400e+001  5.9397900e+001
  9.0000000e+000  6.3540300e+001  6.6967600e+001  7.0279000e+001  7.5951200e+001  6.6776600e+001
  9.5000000e+000  6.9635400e+001  6.3263200e+001  6.8160600e+001  6.4419000e+001  6.6478500e+001
