  8.4300000e+001  9.0000000e+001  8.6700000e+001
  8.6400000e+001  8.9500000e+001  8.7600000e+001
  8.5200000e+001  8.8600000e+001  8.8300000e+001
  8.7100000e+001  8.8900000e+001  8.5300000e+001
  8.3500000e+001  8.8900000e+001  8.0300000e+001
  8.4800000e+001  9.0400000e+001  8.2400000e+001
  8.5000000e+001  8.9300000e+001  8.3400000e+001
  8.5300000e+001  8.9500000e+001  8.5400000e+001
  8.5300000e+001  8.8900000e+001  8.6300000e+001
  8.5200000e+001  8.9100000e+001  8.5300000e+001
  8.2300000e+001  8.9500000e+001  8.9000000e+001
  8.4700000e+001  8.9400000e+001  8.7300000e+001
  8.3600000e+001  8.9800000e+001  8.7200000e+001
