  1.0000000e+000  6.8000000e+001  4.5000000e+001  9.2000000e+001
  2.0000000e+000  8.3000000e+001  5.4000000e+001  9.3000000e+001
  3.0000000e+000  6.1000000e+001  6.7000000e+001  9.1000000e+001
  4.0000000e+000  7.0000000e+001  6.6000000e+001  9.2000000e+001
  5.0000000e+000  7.5000000e+001  6.8000000e+001  9.6000000e+001
  6.0000000e+000  8.2000000e+001  6.7000000e+001  9.0000000e+001
  7.0000000e+000  5.7000000e+001  6.5000000e+001  8.9000000e+001
  8.0000000e+000  5.0000000e+000  6.9000000e+001  8.9000000e+001
  9.0000000e+000  7.6000000e+001  6.2000000e+001  9.7000000e+001
  1.0000000e+001  8.5000000e+001  5.2000000e+001  9.4000000e+001
  1.1000000e+001  6.2000000e+001  3.4000000e+001  8.7000000e+001
  1.2000000e+001  7.1000000e+001  4.5000000e+001  8.5000000e+001
  1.3000000e+001  9.6000000e+001  5.6000000e+001  4.5000000e+001
  1.4000000e+001  7.8000000e+001  6.5000000e+001  8.7000000e+001
  1.5000000e+001  7.6000000e+001  4.3000000e+001  9.7000000e+001
  1.6000000e+001  6.8000000e+001  7.6000000e+001  9.5000000e+001
  1.7000000e+001  7.2000000e+001  6.5000000e+001  8.9000000e+001
  1.8000000e+001  7.5000000e+001  6.7000000e+001  8.8000000e+001
  1.9000000e+001  8.3000000e+001  6.8000000e+001  9.1000000e+001
  2.0000000e+001  9.3000000e+001  9.0000000e+001  9.2000000e+001
